[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=27.7465, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=82.5559, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=1000] total_CO2=84.3164, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=1000] total_CO2=76.5508, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=172.691, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=571.852, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=526.713, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=2000] total_CO2=584.997, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=441.91, total_ABS_CO2=0.0099531, fitness=2.25229e-05
[t=3000] total_CO2=1566.59, total_ABS_CO2=0.019037, fitness=1.21519e-05
[t=3000] total_CO2=1433.49, total_ABS_CO2=0.0176018, fitness=1.22789e-05
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=1605.24, total_ABS_CO2=0.0194869, fitness=1.21396e-05
[t=4000] total_CO2=829.163, total_ABS_CO2=7.10221, fitness=0.00856551
[t=4000] total_CO2=3089.43, total_ABS_CO2=22.2421, fitness=0.00719941
[t=4000] total_CO2=2812.44, total_ABS_CO2=20.5118, fitness=0.00729325
[t=4000] total_CO2=3169.73, total_ABS_CO2=22.7392, fitness=0.00717387
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[UNSTABLE] tau = 100, rho = 2.51585 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.81293 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.99665 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[UNSTABLE] tau = 100, rho = 3.13615 fitness = 0 (due to numerical instability)
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[UNSTABLE] tau = 100, rho = 2.71206 fitness = 0 (due to numerical instability)
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=1000] total_CO2=71.2726, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=2000] total_CO2=486.821, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1316.02, total_ABS_CO2=0.0164638, fitness=1.25103e-05
[t=4000] total_CO2=2568.44, total_ABS_CO2=18.9609, fitness=0.00738225
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=46.8745, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=79.344, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=304.838, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=547.754, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=796.766, total_ABS_CO2=0.0123701, fitness=1.55254e-05
[t=3000] total_CO2=1495.56, total_ABS_CO2=0.0182502, fitness=1.22029e-05
[t=4000] total_CO2=1517.72, total_ABS_CO2=11.9012, fitness=0.0078415
[t=4000] total_CO2=2941.65, total_ABS_CO2=21.3224, fitness=0.00724844
[UNSTABLE] tau = 100, rho = 2.47032 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.56653 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.23524 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.36914 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=80.2788, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=554.779, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=81.4167, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1516.29, total_ABS_CO2=0.0184746, fitness=1.21841e-05
[t=2000] total_CO2=563.319, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=1541.46, total_ABS_CO2=0.0187529, fitness=1.21657e-05
[t=4000] total_CO2=2984.78, total_ABS_CO2=21.5915, fitness=0.00723388
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=3037.17, total_ABS_CO2=21.9176, fitness=0.00721647
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=65.5696, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=443.672, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=1189.91, total_ABS_CO2=0.0153523, fitness=1.29021e-05
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=2308.36, total_ABS_CO2=17.2724, fitness=0.00748256
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[UNSTABLE] tau = 100, rho = 2.44225 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.2655 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.65948 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.75344 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=80.1198, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=553.586, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1512.77, total_ABS_CO2=0.0184362, fitness=1.21871e-05
[t=4000] total_CO2=2977.46, total_ABS_CO2=21.5459, fitness=0.00723633
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=41.0746, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=263.508, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=683.957, total_ABS_CO2=0.0115907, fitness=1.69465e-05
[t=4000] total_CO2=1296.65, total_ABS_CO2=10.3533, fitness=0.00798469
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=74.5946, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=89.6931, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=511.943, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=85.0966, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=1389.94, total_ABS_CO2=0.017167, fitness=1.23509e-05
[t=2000] total_CO2=624.428, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=590.804, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=2721.85, total_ABS_CO2=19.9394, fitness=0.00732567
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1720.07, total_ABS_CO2=0.0209125, fitness=1.2158e-05
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=1622.28, total_ABS_CO2=0.0196903, fitness=1.21374e-05
[t=4000] total_CO2=3406.91, total_ABS_CO2=24.1944, fitness=0.00710157
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=3205.1, total_ABS_CO2=22.9576, fitness=0.00716284
[UNSTABLE] tau = 100, rho = 2.73422 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.10636 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=81.6865, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=565.342, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=77.2197, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=82.1958, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1547.42, total_ABS_CO2=0.0188197, fitness=1.2162e-05
[t=2000] total_CO2=531.758, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=47.3294, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=569.157, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=3049.57, total_ABS_CO2=21.9947, fitness=0.00721239
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1448.37, total_ABS_CO2=0.0177541, fitness=1.22579e-05
[t=3000] total_CO2=1558.65, total_ABS_CO2=0.0189466, fitness=1.21558e-05
[t=2000] total_CO2=308.124, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=60.9343, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=2843.41, total_ABS_CO2=20.7067, fitness=0.00728235
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=3072.93, total_ABS_CO2=22.1398, fitness=0.00720476
[t=3000] total_CO2=805.814, total_ABS_CO2=0.0124335, fitness=1.54297e-05
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=2000] total_CO2=408.717, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=1535.56, total_ABS_CO2=12.0256, fitness=0.00783144
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=1088.9, total_ABS_CO2=0.0145283, fitness=1.33422e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=2102.11, total_ABS_CO2=15.9049, fitness=0.00756615
[UNSTABLE] tau = 100, rho = 3.11864 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.03162 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=63.0791, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=88.5917, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=424.868, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=616.573, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1135.42, total_ABS_CO2=0.0149014, fitness=1.31241e-05
[t=3000] total_CO2=1697.52, total_ABS_CO2=0.020625, fitness=1.21501e-05
[t=4000] total_CO2=2196.85, total_ABS_CO2=16.5362, fitness=0.00752726
[t=4000] total_CO2=3360.69, total_ABS_CO2=23.9145, fitness=0.00711593
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=59.7757, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=63.9837, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=400.014, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=75.2641, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=431.693, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1063.95, total_ABS_CO2=0.0143324, fitness=1.3471e-05
[t=3000] total_CO2=1155.16, total_ABS_CO2=0.0150629, fitness=1.30397e-05
[t=4000] total_CO2=2051.48, total_ABS_CO2=15.5652, fitness=0.00758732
[t=4000] total_CO2=2237.18, total_ABS_CO2=16.8034, fitness=0.00751097
[t=2000] total_CO2=517.001, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1404.85, total_ABS_CO2=0.017314, fitness=1.23245e-05
[t=4000] total_CO2=2752.85, total_ABS_CO2=20.1357, fitness=0.0073145
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=58.9432, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=393.771, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=84.2496, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1046.1, total_ABS_CO2=0.0141938, fitness=1.35684e-05
[t=2000] total_CO2=584.5, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=2015.35, total_ABS_CO2=15.3219, fitness=0.00760261
[t=3000] total_CO2=1603.78, total_ABS_CO2=0.0194696, fitness=1.21398e-05
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=3166.7, total_ABS_CO2=22.7204, fitness=0.0071748
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=51.7424, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=57.0633, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=2000] total_CO2=379.715, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=340.295, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=16.0144, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=97.4324, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1006.07, total_ABS_CO2=0.0138879, fitness=1.3804e-05
[t=3000] total_CO2=895.062, total_ABS_CO2=0.0130681, fitness=1.46003e-05
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=88.6123, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=246.282, total_ABS_CO2=0.00862464, fitness=3.50194e-05
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=70.8829, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=1712.35, total_ABS_CO2=13.2529, fitness=0.00773959
[t=4000] total_CO2=1934.57, total_ABS_CO2=14.7752, fitness=0.00763746
[t=2000] total_CO2=616.724, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=456.69, total_ABS_CO2=4.64731, fitness=0.0101761
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=2000] total_CO2=483.872, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=63.7526, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=1697.96, total_ABS_CO2=0.0206306, fitness=1.21503e-05
[t=3000] total_CO2=1307.36, total_ABS_CO2=0.0163841, fitness=1.25322e-05
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=2000] total_CO2=429.949, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=3361.59, total_ABS_CO2=23.9199, fitness=0.00711565
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=2550.52, total_ABS_CO2=18.8457, fitness=0.00738898
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=1150.11, total_ABS_CO2=0.0150214, fitness=1.30608e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=2226.85, total_ABS_CO2=16.7351, fitness=0.00751512
[UNSTABLE] tau = 100, rho = 2.75947 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.16728 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=66.0739, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=64.643, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=447.485, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=436.67, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=84.9125, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=1200.99, total_ABS_CO2=0.015446, fitness=1.28611e-05
[t=2000] total_CO2=589.435, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1169.58, total_ABS_CO2=0.0151822, fitness=1.29809e-05
[t=1000] total_CO2=79.8177, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=4000] total_CO2=2331.11, total_ABS_CO2=17.4218, fitness=0.00747358
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=1618.26, total_ABS_CO2=0.0196421, fitness=1.21377e-05
[t=4000] total_CO2=2266.7, total_ABS_CO2=16.9983, fitness=0.00749913
[t=2000] total_CO2=551.316, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=77.1429, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=3000] total_CO2=1506.07, total_ABS_CO2=0.0183635, fitness=1.2193e-05
[t=4000] total_CO2=3196.76, total_ABS_CO2=22.9062, fitness=0.00716543
[t=2000] total_CO2=531.178, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=2963.52, total_ABS_CO2=21.4589, fitness=0.00724103
[t=3000] total_CO2=1446.66, total_ABS_CO2=0.0177365, fitness=1.22603e-05
[t=4000] total_CO2=2839.84, total_ABS_CO2=20.6843, fitness=0.00728362
[UNSTABLE] tau = 100, rho = 3.21755 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.73587 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.11643 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.69969 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.26348 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=41.9393, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=269.602, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=700.478, total_ABS_CO2=0.0117037, fitness=1.67082e-05
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=1328.88, total_ABS_CO2=10.5794, fitness=0.00796113
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=62.2338, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=72.2395, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=418.498, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=494.136, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1117.04, total_ABS_CO2=0.0147527, fitness=1.3207e-05
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1337.52, total_ABS_CO2=0.0166641, fitness=1.24589e-05
[t=4000] total_CO2=2613.01, total_ABS_CO2=19.2464, fitness=0.0073656
[t=4000] total_CO2=2159.36, total_ABS_CO2=16.2871, fitness=0.00754254
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[UNSTABLE] tau = 100, rho = 2.26051 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.53882 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=84.1651, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=583.87, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1601.93, total_ABS_CO2=0.0194477, fitness=1.21402e-05
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=4000] total_CO2=3162.86, total_ABS_CO2=22.6967, fitness=0.00717601
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=1000] total_CO2=78.575, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=541.967, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=71.4943, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=1478.5, total_ABS_CO2=0.0180684, fitness=1.22208e-05
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=488.498, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=1000] total_CO2=84.8385, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1320.95, total_ABS_CO2=0.0165094, fitness=1.24981e-05
[t=4000] total_CO2=2906.11, total_ABS_CO2=21.1001, fitness=0.0072606
