[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=1435.1, total_ABS_CO2=0.0176181, fitness=1.22766e-05
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=2000] total_CO2=576.27, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=3000] total_CO2=986.597, total_ABS_CO2=0.0137411, fitness=1.39278e-05
[t=4000] total_CO2=2815.77, total_ABS_CO2=20.5328, fitness=0.00729208
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=3000] total_CO2=1579.59, total_ABS_CO2=0.0191866, fitness=1.21466e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=1895.39, total_ABS_CO2=14.5087, fitness=0.00765471
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=4000] total_CO2=3116.46, total_ABS_CO2=22.4096, fitness=0.00719072
[UNSTABLE] tau = 100, rho = 3.11324 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.60182 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.8007 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=87.6992, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=75.3405, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=517.578, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=610.051, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1406.55, total_ABS_CO2=0.0173309, fitness=1.23216e-05
[t=3000] total_CO2=1678.56, total_ABS_CO2=0.0203841, fitness=1.21438e-05
[t=4000] total_CO2=2756.39, total_ABS_CO2=20.1581, fitness=0.00731322
[t=4000] total_CO2=3321.59, total_ABS_CO2=23.6748, fitness=0.00712755
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=78.1031, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=538.414, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=77.0408, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=77.3902, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1468.01, total_ABS_CO2=0.017958, fitness=1.22329e-05
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=530.409, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=533.042, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=2884.29, total_ABS_CO2=20.9634, fitness=0.00726812
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1444.39, total_ABS_CO2=0.0177131, fitness=1.22634e-05
[t=3000] total_CO2=1452.16, total_ABS_CO2=0.0177931, fitness=1.22529e-05
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
[t=4000] total_CO2=2835.12, total_ABS_CO2=20.6546, fitness=0.00728527
[t=4000] total_CO2=2851.3, total_ABS_CO2=20.7563, fitness=0.0072796
[t=4000] total_CO2=380.267, total_ABS_CO2=4.17188, fitness=0.0109709
[UNSTABLE] tau = 100, rho = 2.52434 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.5724 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 3.01314 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=25.3372, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=156.892, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=400.508, total_ABS_CO2=0.00967357, fitness=2.41532e-05
[t=4000] total_CO2=749.985, total_ABS_CO2=6.56515, fitness=0.00875371
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=29.3501, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=183.309, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=469.844, total_ABS_CO2=0.0101415, fitness=2.15848e-05
[t=1000] total_CO2=80.0425, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=882.703, total_ABS_CO2=7.4687, fitness=0.00846116
[t=2000] total_CO2=553.004, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=1511.05, total_ABS_CO2=0.0184175, fitness=1.21886e-05
[t=1000] total_CO2=86.599, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=2973.89, total_ABS_CO2=21.5236, fitness=0.00723753
[t=2000] total_CO2=601.944, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1654.9, total_ABS_CO2=0.0200883, fitness=1.21387e-05
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=4000] total_CO2=3272.68, total_ABS_CO2=23.3741, fitness=0.0071422
[t=1000] total_CO2=46.1265, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=299.45, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=26.1183, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=781.954, total_ABS_CO2=0.0122667, fitness=1.56872e-05
[t=2000] total_CO2=161.994, total_ABS_CO2=0, fitness=0
